Entity,Obesity_Prevalence,Cluster
Afghanistan,8.10729,1
Africa (WHO),7.562619090909091,1
Albania,15.638613333333334,0
Algeria,16.29242818181818,0
American Samoa,70.07305151515152,2
Americas (WHO),23.84334606060606,0
Andorra,15.012881212121211,0
Angola,6.987534848484849,1
Antigua and Barbuda,22.77658909090909,0
Argentina,22.70508909090909,0
Armenia,17.896663636363634,0
Australia,22.33132818181818,0
Austria,12.892798787878787,1
Azerbaijan,18.737832121212122,0
Bahamas,33.917583030303035,0
Bahrain,27.669205757575757,0
Bangladesh,1.958169393939394,1
Barbados,26.541882424242424,0
Belarus,19.471210606060605,0
Belgium,16.187928181818183,0
Belize,30.257317575757575,0
Benin,6.376447878787879,1
Bermuda,22.453396969696968,0
Bhutan,5.658899696969697,1
Bolivia,17.20771303030303,0
Bosnia and Herzegovina,15.834794545454546,0
Botswana,12.294454848484849,1
Brazil,16.392964545454547,0
Brunei,18.806883333333335,0
Bulgaria,15.794941515151516,0
Burkina Faso,2.8428296969696967,1
Burundi,2.42712,1
Cambodia,1.8150260606060606,1
Cameroon,9.183062727272727,1
Canada,21.803240606060605,0
Cape Verde,9.127220303030303,1
Central African Republic,4.681659090909092,1
Chad,3.4533960606060603,1
Chile,25.352806363636365,0
China,3.7047551515151516,1
Colombia,15.137964242424243,0
Comoros,8.581561818181818,1
Congo,6.087325757575758,1
Cook Islands,58.38556060606061,2
Costa Rica,21.11186606060606,0
Cote d'Ivoire,6.48120696969697,1
Croatia,19.632802121212123,0
Cuba,13.725071515151516,1
Cyprus,19.549244545454545,0
Czechia,21.088272424242426,0
Democratic Republic of Congo,3.4909233333333334,1
Denmark,11.300320000000001,1
Djibouti,5.813036363636363,1
Dominica,21.071928181818183,0
Dominican Republic,18.39289515151515,0
East Timor,0.944960303030303,1
Eastern Mediterranean (WHO),18.538922121212124,0
Ecuador,17.236861515151514,0
Egypt,32.42615909090909,0
El Salvador,21.60504121212121,0
Equatorial Guinea,11.582805151515151,1
Eritrea,2.151750606060606,1
Estonia,18.55589909090909,0
Eswatini,19.47535909090909,0
Ethiopia,1.1916778787878788,1
Europe (WHO),18.41312333333333,0
Fiji,25.424905757575758,0
Finland,17.705917575757578,0
France,11.307219090909092,1
French Polynesia,40.74722060606061,0
Gabon,12.748457575757575,1
Gambia,7.030295757575757,1
Georgia,23.242066060606064,0
Germany,18.60683333333333,0
Ghana,8.084381212121212,1
Greece,21.64623333333333,0
Greenland,20.488799393939395,0
Grenada,20.459595454545454,0
Guatemala,16.511319696969696,0
Guinea,4.570501515151515,1
Guinea-Bissau,6.160220606060606,1
Guyana,18.06118515151515,0
Haiti,6.890874242424243,1
Honduras,18.74515303030303,0
Hungary,21.804701212121213,0
Iceland,16.287588181818183,0
India,3.2269445454545456,1
Indonesia,4.793173333333334,1
Iran,17.44100484848485,0
Iraq,30.170867575757576,0
Ireland,21.759440606060608,0
Israel,19.804204545454542,0
Italy,14.782002424242425,0
Jamaica,21.776624242424244,0
Japan,3.3530375757575754,1
Jordan,32.53897333333333,0
Kazakhstan,14.976593333333334,0
Kenya,6.449897272727273,1
Kiribati,40.183185151515154,0
Kuwait,37.104996666666665,0
Kyrgyzstan,16.751438484848485,0
Laos,3.8445739393939395,1
Latvia,19.602764242424243,0
Lebanon,22.894697575757576,0
Lesotho,13.557025151515152,1
Liberia,8.070324242424242,1
Libya,27.99236212121212,0
Lithuania,21.841761515151518,0
Luxembourg,16.681100303030302,0
Madagascar,1.8912763636363636,1
Malawi,3.583099393939394,1
Malaysia,12.890947272727272,1
Maldives,9.161445454545454,1
Mali,5.792405454545455,1
Malta,28.05006,0
Marshall Islands,39.83905151515151,0
Mauritania,12.930252424242424,1
Mauritius,14.362529696969697,1
Mexico,25.376021212121213,0
Micronesia (country),40.05607424242424,0
Moldova,21.321826969696968,0
Mongolia,14.576856969696971,1
Montenegro,13.236528181818182,1
Morocco,14.221975757575757,1
Mozambique,4.911395151515151,1
Myanmar,4.337849696969697,1
Namibia,11.794934848484848,1
Nauru,67.12316696969697,2
Nepal,2.6623409090909087,1
Netherlands,12.211637575757576,1
New Zealand,24.819656666666667,0
Nicaragua,23.51721636363636,0
Niger,3.0699733333333334,1
Nigeria,6.833563333333333,1
Niue,57.96050090909091,2
North Korea,5.426376060606061,1
North Macedonia,19.914682424242425,0
Norway,14.038993636363637,1
Oman,21.814299393939393,0
Pakistan,10.230594242424242,1
Palau,37.701017575757575,0
Palestine,30.282949393939397,0
Panama,22.359021818181816,0
Papua New Guinea,15.54823696969697,0
Paraguay,21.429786060606062,0
Peru,15.971330606060604,0
Philippines,4.697473030303031,1
Poland,19.746233333333336,0
Portugal,16.629306666666665,0
Puerto Rico,29.88989121212121,0
Qatar,30.96047757575758,0
Romania,17.894637575757578,0
Russia,20.42136909090909,0
Rwanda,1.9862251515151514,1
Saint Kitts and Nevis,33.418801515151515,0
Saint Lucia,21.687538484848485,0
Saint Vincent and the Grenadines,22.698480606060606,0
Samoa,50.87829606060606,2
Sao Tome and Principe,9.35415,1
Saudi Arabia,30.681104242424244,0
Senegal,6.107584242424242,1
Serbia,16.643448484848484,0
Seychelles,21.881172424242425,0
Sierra Leone,4.641344545454545,1
Singapore,7.061601515151515,1
Slovakia,18.46533515151515,0
Slovenia,15.238998787878787,0
Solomon Islands,17.494450909090908,0
Somalia,7.770170909090909,1
South Africa,25.11924666666667,0
South Korea,3.5119836363636363,1
South Sudan,4.343721818181818,1
South-East Asia (WHO),3.641662424242424,1
Spain,17.613226363636365,0
Sri Lanka,4.510751212121212,1
Sudan,9.457776666666666,1
Suriname,19.3505903030303,0
Sweden,13.010745757575757,1
Switzerland,11.083003939393938,1
Syria,25.870640606060604,0
Tajikistan,14.293474848484848,1
Tanzania,6.000552424242425,1
Thailand,8.22888909090909,1
Togo,5.5399048484848485,1
Tokelau,62.118700909090904,2
Tonga,58.63410696969697,2
Trinidad and Tobago,22.10771727272727,0
Tunisia,19.23310272727273,0
Turkey,26.590659393939394,0
Turkmenistan,14.581845757575758,1
Tuvalu,55.83014424242424,2
Uganda,3.4141421212121212,1
Ukraine,20.07306090909091,0
United Arab Emirates,27.777388181818182,0
United Kingdom,21.235295454545454,0
United States,31.71739575757576,0
Uruguay,21.66378575757576,0
Uzbekistan,17.130842121212122,0
Vanuatu,17.36725090909091,0
Venezuela,20.074888787878788,0
Vietnam,0.7066412121212121,1
Western Pacific (WHO),4.0742669696969696,1
World,10.61659606060606,1
